<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.28	20:00:00	1919.201	1925.009	1918.945	1924.041	7642	0	0
2022.03.29	00:00:00	1924.040	1929.272	1921.346	1924.960	17186	0	0
2022.03.29	04:00:00	1924.993	1925.188	1918.560	1919.215	16266	0	0
2022.03.29	08:00:00	1919.296	1920.757	1900.705	1908.022	26630	0	0
2022.03.29	12:00:00	1907.988	1915.309	1890.113	1915.209	52293	0	0
2022.03.29	16:00:00	1915.240	1921.356	1912.728	1919.306	17251	0	0
2022.03.29	20:00:00	1919.291	1921.390	1916.250	1916.354	5381	0	0
2022.03.30	00:00:00	1916.363	1925.497	1915.905	1923.643	16541	0	0
2022.03.30	04:00:00	1923.636	1928.229	1920.513	1920.970	18552	0	0
2022.03.30	08:00:00	1920.934	1925.534	1917.002	1923.786	19638	0	0
2022.03.30	12:00:00	1923.792	1938.489	1922.371	1936.988	34544	0	0
2022.03.30	16:00:00	1937.020	1937.120	1930.443	1934.231	13673	0	0
2022.03.30	20:00:00	1934.263	1935.923	1931.667	1934.017	4175	0	0
2022.03.31	00:00:00	1934.044	1934.151	1923.787	1925.078	16640	0	0
2022.03.31	04:00:00	1925.077	1933.519	1918.817	1931.294	19327	0	0
2022.03.31	08:00:00	1931.296	1932.596	1922.336	1930.945	18061	0	0
2022.03.31	12:00:00	1930.913	1945.083	1928.085	1944.314	31397	0	0
2022.03.31	16:00:00	1944.344	1949.760	1934.942	1936.653	18850	0	0
2022.03.31	20:00:00	1936.685	1937.893	1934.757	1936.702	6496	0	0
2022.04.01	00:00:00	1936.704	1938.585	1932.514	1938.199	13649	0	0
2022.04.01	04:00:00	1938.201	1939.493	1929.365	1930.670	15270	0	0
2022.04.01	08:00:00	1930.684	1936.289	1924.248	1928.541	19004	0	0
2022.04.01	12:00:00	1928.525	1933.942	1918.473	1925.897	41481	0	0
2022.04.01	16:00:00	1925.928	1926.928	1917.848	1922.578	20083	0	0
2022.04.01	20:00:00	1922.546	1924.908	1922.161	1924.495	2104	0	0
2022.04.03	20:00:00	1924.673	1924.995	1921.444	1924.674	3323	0	0
2022.04.04	00:00:00	1924.635	1926.810	1918.237	1918.950	10290	0	0
2022.04.04	04:00:00	1918.973	1930.762	1915.190	1929.857	14669	0	0
2022.04.04	08:00:00	1929.832	1933.024	1925.604	1929.061	15785	0	0
2022.04.04	12:00:00	1929.056	1936.808	1924.165	1933.609	37595	0	0
2022.04.04	16:00:00	1933.640	1934.002	1928.769	1932.419	15158	0	0
2022.04.04	20:00:00	1932.387	1933.763	1930.813	1931.493	4819	0	0
2022.04.05	00:00:00	1931.510	1933.107	1927.392	1928.527	9561	0	0
2022.04.05	04:00:00	1928.525	1933.558	1926.253	1927.549	12721	0	0
2022.04.05	08:00:00	1927.564	1932.362	1925.434	1927.814	18784	0	0
2022.04.05	12:00:00	1927.845	1944.555	1918.288	1920.323	39101	0	0
2022.04.05	16:00:00	1920.355	1925.629	1917.767	1920.423	20104	0	0
2022.04.05	20:00:00	1920.454	1924.085	1920.048	1920.617	6267	0	0
2022.04.06	00:00:00	1920.618	1925.264	1916.412	1923.828	15578	0	0
2022.04.06	04:00:00	1923.827	1924.354	1914.737	1921.786	16412	0	0
2022.04.06	08:00:00	1921.792	1933.482	1918.256	1921.503	23417	0	0
2022.04.06	12:00:00	1921.496	1931.882	1919.489	1927.893	31166	0	0
2022.04.06	16:00:00	1927.888	1929.373	1915.353	1925.018	31161	0	0
2022.04.06	20:00:00	1924.985	1926.602	1922.236	1923.806	5976	0	0
2022.04.07	00:00:00	1923.783	1927.282	1921.083	1922.271	14023	0	0
2022.04.07	04:00:00	1922.268	1927.919	1920.496	1925.480	14170	0	0
2022.04.07	08:00:00	1925.479	1931.661	1923.349	1930.670	17067	0	0
2022.04.07	12:00:00	1930.668	1937.653	1924.407	1933.719	32588	0	0
2022.04.07	16:00:00	1933.746	1936.844	1929.506	1932.362	16185	0	0
2022.04.07	20:00:00	1932.332	1933.694	1929.989	1932.938	6017	0	0
